city,score,rank,region,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG15,SDG16,sdg1_depriv : Severe material deprivation rate in cities (%),sdg1_povrisk : People at risk of poverty or social exclusion (%),"sdg2_obesity : Obesity rate (BMI <30), %","sdg3_traffic : Traffic fatalities (per 10,000 population)","sdg3_infmort : Infant mortality rate (under 1) per 1,000 births","sdg3_doctors : General practitioners per (100,000 pop)",sdg3_lifee : Life expectancy (years),sdg3_smoke : Daily smokers (%),sdg3_active : Active lifestyle (%),sdg4_earlyleav : Early leavers from education (% 18-24),sdg4_secondary : Adults with upper secondary education (% 25-64),sdg4_neet : NEET rate (% 15-24),sdg4_edusat : Satisfaction with schools (%),sdg4_earlyedu : Four year-olds in early childhood education (%),sdg4_adultedu : Adult participation in learning (%),sdg4_uni : University appearances in rankings,sdg5_wgap : Gender wage gap (% male wage),sdg5_assemb : Women in regional assemblies (%),sdg5_emplogap : Gender gap in unemployment (%),sdg6_sectreat : Waste water treated (%),sdg6_consew : Population connected to Sewerage Treatment (%),sdg7_renenergy : Renewable energy generated (%),sdg8_gdppc : GDP per capita ,sdg8_gdp : 5 year average of Annual real GDP Growth Rates,sdg8_ltunemp : Long term unemployment Rate (%),sdg9_rd : R&D expenditure (%),sdg9_intcon : Access to Internet at Home (%),sdg9_patents : Patent applicants (per million pop),sdg9_design : Community design applications (per million pop.),sdg9_road : Potential road accessibility ,sdg9_trains : Direct trains to other cities (per million pop.),sdg10_gini : Gini Coefficient (1-100),sdg11_pm25 : Concentration PM2.5 (microgr/m3),sdg11_nox : Emission of nitrogen oxides (kg/km2),sdg11_sathous : Satisfaction affordable housing (%),sdg11_rburden : Housing cost overburden rate in urban areas (%),"sdg11_evstations : Recharging stations (per 10,000 people)",sdg11_satpubtran : Satisfaction public transport (%),sdg11_culture : Satisfaction cultural facilities (%),"sdg11_sights : Sights & landmarks (per 100,000)","sdg11_museums : Museums (per 100,000)","sdg11_concerts : Concerts & shows (per 100,000)",sdg12_munwaste : Municipal waste (kg/capita),sdg12_recycle : Municipal recycling rate (%),sdg12_chemstatgw : Ground water of good chemical status (%),sdg12_chemstatsw : Surface water of good chemical status (%),sdg13_co2 : CO2 Emissions (tonnes per capita),sdg15_nat2000 : Natura 2000 Area in good quality (%),sdg15_urbgreen : Urban green area (%),sdg15_soilseal : Soil sealing (%),sdg15_ecostatsw : Surface Water of Good Ecological Status (%),"sdg16_burglary : Burglaries (per 100,000)","sdg16_rob : Robberies (per 100,000)","sdg16_homicide : Intentional homocides (per 100,000)",sdg16_safety : Perception of neighborhood safety (%),sdg16_govqual : Quality of local government,Dashboard SDG1,Dashboard SDG2,Dashboard SDG3,Dashboard SDG4,Dashboard SDG5,Dashboard SDG6,Dashboard SDG7,Dashboard SDG8,Dashboard SDG9,Dashboard SDG10,Dashboard SDG11,Dashboard SDG12,Dashboard SDG13,Dashboard SDG15,Dashboard SDG16,Dashboard: Severe material deprivation rate in cities (%),Dashboard: People at risk of poverty or social exclusion (%),"Dashboard: Obesity rate (BMI <30), %","Dashboard: Traffic fatalities (per 10,000 population)","Dashboard: Infant mortality rate (under 1) per 1,000 births","Dashboard: General practitioners per (100,000 pop)",Dashboard: Life expectancy (years),Dashboard: Daily smokers (%),Dashboard: Active lifestyle (%),Dashboard: Early leavers from education (% 18-24),Dashboard: Adults with upper secondary education (% 25-64),Dashboard: NEET rate (% 15-24),Dashboard: Satisfaction with schools (%),Dashboard: Four year-olds in early childhood education (%),Dashboard: Adult participation in learning (%),Dashboard: University appearances in rankings,Dashboard: Gender wage gap (% male wage),Dashboard: Women in regional assemblies (%),Dashboard: Gender gap in unemployment (%),Dashboard: Waste water treated (%),Dashboard: Population connected to Sewerage Treatment (%),Dashboard: Renewable energy generated (%),Dashboard: GDP per capita ,Dashboard: 5 year average of Annual real GDP Growth Rates,Dashboard: Long term unemployment Rate (%),Dashboard: R&D expenditure (%),Dashboard: Access to Internet at Home (%),Dashboard: Patent applicants (per million pop),Dashboard: Community design applications (per million pop.),Dashboard: Potential road accessibility ,Dashboard: Direct trains to other cities (per million pop.),Dashboard: Gini Coefficient (1-100),Dashboard: Concentration PM2.5 (microgr/m3),Dashboard: Emission of nitrogen oxides (kg/km2),Dashboard: Satisfaction affordable housing (%),Dashboard: Housing cost overburden rate in urban areas (%),"Dashboard: Recharging stations (per 10,000 people)",Dashboard: Satisfaction public transport (%),Dashboard: Satisfaction cultural facilities (%),"Dashboard: Sights & landmarks (per 100,000)","Dashboard: Museums (per 100,000)","Dashboard: Concerts & shows (per 100,000)",Dashboard: Municipal waste (kg/capita),Dashboard: Municipal recycling rate (%),Dashboard: Ground water of good chemical status (%),Dashboard: Surface water of good chemical status (%),Dashboard: CO2 Emissions (tonnes per capita),Dashboard: Natura 2000 Area in good quality (%),Dashboard: Urban green area (%),Dashboard: Soil sealing (%),Dashboard: Surface Water of Good Ecological Status (%),"Dashboard: Burglaries (per 100,000)","Dashboard: Robberies (per 100,000)","Dashboard: Intentional homocides (per 100,000)",Dashboard: Perception of neighborhood safety (%),Dashboard: Quality of local government
TheHague,63.7,9,Western Europe,75,59.8,65,76.1,50.7,100,34.5,81.2,63.6,79.5,75.9,72.6,45.4,36.2,49.3,3.8,18,15.8,0.257,3.641,340.76,81.8,18.37328221,29.88550096,6.6,78,4.3,,96.2,19.8,,18.35798062,33.9,10.5,100,100,,42000,-0.466759119,2.3,2.19,99,80.242,37.33333333,23996722,34.714286,28.2,14.23,4.038092899,,12.2,6.955609395,,,42,31,18,482.3507085,54.2,72.7,82.3,,57.07415844,19.32792856,46.19045941,0.6,827.0617703,136.0676451,,,136.7804,yellow,yellow,green,yellow,orange,green,gray,yellow,orange,green,orange,yellow,gray,red,orange,green,yellow,yellow,green,green,green,green,green,green,yellow,yellow,green,,green,green,,red,yellow,orange,green,green,,green,red,green,yellow,green,orange,orange,green,green,green,yellow,yellow,,orange,green,,,orange,orange,yellow,orange,green,yellow,yellow,,green,orange,red,red,red,yellow,,,green
Rotterdam,63.4,12,Western Europe,75,59.4,67.2,77.3,50.7,100,16,84.6,66.9,79.5,60.3,71.2,28.8,36.7,80,3.8,18,15.9,0.178,3.015,340.76,81.8,18.37328221,29.88550096,6.6,78,4.3,80,96.2,19.8,,18.35798062,33.9,10.5,100,100,18,43000,0.037805251,2.3,2.19,99,90.239,76.66666667,,,28.2,14.64784151,31.53351866,34,12.2,5.432315426,87,47,65,28,12,507.8744885,54.2,72.7,82.3,11.1,98.50835198,5.69597203,35.1471338,0.6,,,,85,136.7804,yellow,yellow,green,yellow,orange,green,orange,yellow,orange,green,orange,orange,red,red,gray,green,yellow,yellow,green,green,green,green,green,green,yellow,yellow,green,green,green,green,,red,yellow,orange,green,green,orange,green,orange,green,yellow,green,orange,yellow,,,green,yellow,red,orange,orange,green,green,green,orange,orange,orange,orange,green,yellow,yellow,red,green,red,orange,red,,,,green,green
Amsterdam,63.5,11,Western Europe,75,72.8,66.7,76.8,60.4,100,13.2,97.3,66.7,79.5,75.7,73.5,32.7,15.5,52.5,3.8,18,11.6,0.225,3.796,467.44,81.6,24.25479166,32.96472913,6.2,81.6,4,75,95.7,20.4,,18.35798062,41.1,7.6,100,100,15.3,51000,1.824479902,1.7,1.72,99,95.23,86.66666667,,,28.2,15.55740631,8.440682272,10,12.2,4.958911349,82,56,166,135,81,466.6711707,54.2,72.7,82.3,10.5,,4.387090153,34.06572939,0.6,775.5885377,195.0998555,,92,119.6079,yellow,yellow,yellow,yellow,orange,green,red,green,orange,green,orange,yellow,red,red,orange,green,yellow,yellow,green,green,green,green,orange,green,yellow,yellow,green,green,green,green,,red,green,yellow,green,green,red,green,green,green,orange,green,orange,yellow,,,green,yellow,yellow,red,orange,green,green,green,yellow,green,green,orange,green,yellow,yellow,red,,red,orange,red,red,orange,,green,green
Eindhoven,63.5,10,Western Europe,78.4,70.6,65.9,73.1,49.3,100,34.5,89.9,89.7,79.5,68.5,42.1,45.4,10.6,60.7,3.8,14.9,12.3,0.32,3.042,246.76,81.6,16.40216472,35.76861926,7.9,76.5,3.7,,95.9,17.9,,19.0738699,30.4,9.1,100,100,,48000,0.726132619,1.7,2.78,98,1430.109,147,24973290,17.642857,28.2,14.7670909,7.414242712,,12.2,4.21390905,,,11,9,5,599.7262318,54.2,40,27.1,,3.239179954,10.39107404,44.30711146,0,704.2872915,49.62173274,,,123.8241,green,yellow,yellow,yellow,orange,green,gray,yellow,yellow,green,red,red,gray,red,orange,green,green,yellow,yellow,green,yellow,green,green,green,yellow,orange,green,,green,yellow,,red,yellow,orange,green,green,,green,orange,green,yellow,green,green,green,green,yellow,green,yellow,yellow,,orange,green,,,red,red,red,red,green,red,red,,red,red,red,red,red,green,,,green
Hamburg,63,14,Central and Eastern Europe,71.7,76.2,79.6,57.8,53.8,98.8,44.1,89.5,78.3,70.8,72.1,72.9,28.8,37.4,67.9,4.2,20,10.5,0.162,3.389,614.42,81.2,21.62009169,52.5138955,11.2,84.3,8,60,96.6,10.4,3.25,23.0248307,38.8,7.1,100,99.2,45.4,46000,0.697551739,1.9,2.21,96,201.074,107.3333333,23237584,19.142857,31.7,14.03143015,6.392318772,6,17.9,2.596056866,88,52,104,61,45,447.8720024,67.6,55.4,91.4,11.1,48.58536466,12.01285337,34.80535904,8.1,416.2528626,146.373419,0.994234544,92,76.6649,yellow,yellow,yellow,orange,orange,green,yellow,yellow,yellow,yellow,red,orange,red,red,orange,yellow,yellow,yellow,green,green,green,green,yellow,green,orange,yellow,green,orange,green,orange,orange,red,yellow,yellow,green,green,yellow,green,orange,green,yellow,green,green,green,green,green,yellow,yellow,yellow,red,red,green,green,green,yellow,yellow,green,yellow,green,orange,green,red,yellow,red,orange,red,red,yellow,green,green,yellow
Berlin,62.1,18,Central and Eastern Europe,66.3,70.9,66.6,60.9,61.4,99.4,25,85.5,86.3,70.8,76.7,76.3,33.3,28,65.3,4.2,24.8,12.2,0.159,3.182,529.14,80.9,29.53321779,33.26354126,13.2,86.3,9.4,53,96.1,10.8,9.25,14.13227812,32.9,6.1,100,99.6,,33000,0.288573,2.9,3.53,95,164.349,101.6666667,24836406,26.357143,31.7,16.29334352,4.421779881,10,17.9,1.440627946,84,58,315,204,105,386.9227288,67.6,55.4,91.4,10.4,15.34399595,22.44323597,34.80931771,8.1,243.7318698,167.756229,1.146907685,86,46.9975,yellow,yellow,orange,orange,orange,green,gray,yellow,yellow,yellow,red,yellow,red,orange,yellow,yellow,orange,yellow,green,green,green,green,red,green,orange,yellow,green,red,green,orange,green,orange,yellow,yellow,green,green,,green,orange,green,green,green,yellow,green,green,green,yellow,yellow,yellow,red,red,green,green,green,green,green,green,yellow,green,orange,green,red,orange,orange,orange,red,yellow,orange,green,green,yellow
Munich,64.2,8,Central and Eastern Europe,75.9,65.3,73.8,67.7,40.6,99.8,25,92,92,70.8,67.4,82,53.8,38.7,89.9,4.2,16.2,14,0.103,1.764,437.79,82.5,23.101865,35.71818913,6.7,90.6,4,63,95.9,8.5,7.75,25.60914968,28.3,8.6,100,99.9,,61000,0.821705675,0.6,4.35,92,515.718,154,24430700,19.714286,31.7,14.77696996,5.581112757,3,17.9,1.242913854,86,60,122,61,30,392.8553945,67.6,69.6,97.8,7.2,46.19540968,16.27309237,45.84835341,23.4,54.49699208,37.21912366,0.61462773,96,104.461,yellow,yellow,yellow,orange,orange,green,gray,yellow,green,yellow,red,yellow,red,orange,yellow,yellow,yellow,yellow,green,green,green,green,orange,green,yellow,green,green,orange,green,orange,green,red,orange,yellow,green,green,,green,yellow,green,green,green,green,green,green,green,yellow,yellow,yellow,red,red,green,green,green,yellow,yellow,green,yellow,green,yellow,green,red,yellow,orange,red,orange,green,green,green,green,yellow
Antwerp,61.7,21,Western Europe,61.1,65.3,64.2,66.5,64.5,98.8,34.5,85.2,67.2,76.8,53.6,44.9,51.3,21.8,47.8,9,,14,0.29,4.027,260.59,82.4,15.43827392,30.3556884,7.7,77.8,9.3,86,99.3,7.3,3.75,11.55857741,42.4,11,100,99.18,,46000,0.13728902,2.3,3.16,89,180.082,38.66666667,25043114,18.285714,29.3,17.10960261,21.39860704,36,14.7,1.103847051,72,44,39,32,8,431.4788954,53.7,21.9,24.7,7.6,33.30834957,8.703113508,45.70409414,0,774.4206963,286.0403662,2.111707402,91,131.7692,orange,yellow,yellow,orange,orange,green,gray,yellow,yellow,green,red,red,red,red,red,orange,,yellow,green,yellow,yellow,green,green,green,yellow,orange,green,green,green,red,orange,orange,green,orange,green,green,,green,orange,green,green,yellow,yellow,orange,green,green,green,yellow,red,yellow,orange,yellow,green,green,orange,orange,red,yellow,green,red,red,red,yellow,red,red,red,red,red,yellow,green,green
Luxembourg,63,13,Western Europe,76.1,38.7,67.9,63.1,62.5,98.1,6.8,88,63,65.5,47.3,81.5,45.4,60.6,79.7,1.2,21.5,22.6,0.226,,288.45,82.7,14.9,,7.3,76.4,5.9,78,94.8,17.2,0,8.701413428,28.3,7.4,100,,9,90000,0.516126095,2.1,1.27,97,110.221,95.66666667,24250160,5.7857143,33.8,16.30410958,23.96701771,13,14.6,1.100450846,80,42,36,16,4,,48.3,,,,50.36579153,30.3253292,29.44926414,,251.7492936,53.49884114,1.354401042,91,132.0166,yellow,orange,yellow,orange,yellow,green,red,yellow,orange,yellow,red,gray,gray,yellow,yellow,green,yellow,orange,green,,yellow,green,green,,yellow,orange,green,green,yellow,yellow,red,yellow,orange,yellow,green,,red,green,orange,green,orange,green,orange,green,green,orange,yellow,yellow,red,red,orange,yellow,green,green,orange,orange,red,,yellow,,,,yellow,yellow,yellow,,yellow,green,green,green,green
Valletta,53.8,42,Southern Europe,74.8,19.2,64.5,43.3,30.5,100,53.8,89.5,24.5,76.5,40.4,5.2,50.8,43.5,70.5,3.4,19.2,28.9,0.411,,382.78,82.6,,,17.7,51.1,8.6,65,100,10.6,0,7.233065442,12.7,22.5,,100,,23000,4.093213987,1.6,0.77,85,10.359,24.33333333,,,29.4,,4.437865514,44,1.5,0.981099813,46,16,39,16,6,606.503471,6.4,13.3,0,,32.75938885,7.008785942,39.44269169,55.5,156.9759701,45.31746755,0.934380774,78,19.5095,yellow,red,yellow,red,red,green,gray,yellow,red,green,red,red,gray,red,orange,green,yellow,red,yellow,,green,green,,,red,red,green,yellow,green,orange,red,green,red,red,,green,,yellow,green,green,red,yellow,red,orange,,,green,,yellow,yellow,green,yellow,orange,red,orange,orange,red,red,red,red,red,,orange,red,red,green,green,green,green,orange,yellow
